Date,Volume,Volume_MA20,Volume_Ratio_20d
2021-08-10,4500,164920.0,2.73
2021-08-11,12700,159090.0,7.98
2021-08-12,1760100,244505.0,719.86
2021-08-13,1900,236675.0,0.8
2021-08-16,22100,185300.0,11.93
2021-08-17,1300,131100.0,0.99
2021-08-18,14600,130970.0,11.15
2021-08-19,100,130790.0,0.08
2021-08-20,4100,130575.0,3.14
2021-08-23,3100,130255.0,2.38
2021-08-24,8200,129505.0,6.33
2021-08-25,9100,129265.0,7.04
2021-08-26,900,129125.0,0.7
2021-08-27,7800,129115.0,6.04
2021-08-30,2100,128850.0,1.63
2021-08-31,0,128245.0,0.0
2021-09-01,0,126605.0,0.0
2021-09-02,2100,94385.0,2.22
2021-09-03,12600,93425.0,13.49
2021-09-07,5300,93630.0,5.66
2021-09-08,8100,93810.0,8.63
2021-09-09,8600,93605.0,9.19
2021-09-10,0,5600.0,0.0
2021-09-13,400,5525.0,7.24
2021-09-14,18600,5350.0,347.66
2021-09-15,6800,5625.0,120.89
2021-09-16,32700,6530.0,500.77
2021-09-17,21100,7580.0,278.36
2021-09-20,5800,7665.0,75.67
2021-09-21,1600,7590.0,21.08
2021-09-22,24700,8415.0,293.52
2021-09-23,23700,9145.0,259.16
2021-09-24,300,9115.0,3.29
2021-09-27,600,8755.0,6.85
2021-09-28,34600,10380.0,333.33
2021-09-29,28700,11815.0,242.91
2021-09-30,0,11815.0,0.0
2021-10-01,75000,15460.0,485.12
2021-10-04,4200,15040.0,27.93
2021-10-05,43500,16950.0,256.64
2021-10-06,10700,17080.0,62.65
2021-10-07,4300,16865.0,25.5
2021-10-08,700,16900.0,4.14
2021-10-11,578600,45810.0,1263.04
2021-10-12,11800,45470.0,25.95
2021-10-13,0,45130.0,0.0
2021-10-14,17900,44390.0,40.32
2021-10-15,500,43360.0,1.15
2021-10-18,18200,43980.0,41.38
2021-10-19,300,43915.0,0.68
2021-10-20,800,42720.0,1.87
2021-10-21,0,41535.0,0.0
2021-10-22,18000,42420.0,42.43
2021-10-25,2900,42535.0,6.82
2021-10-26,55700,43590.0,127.78
2021-10-27,31500,43730.0,72.03
2021-10-28,2100,43835.0,4.79
2021-10-29,38200,41995.0,90.96
2021-11-01,28400,43205.0,65.73
2021-11-02,200,41040.0,0.49
2021-11-03,17000,41355.0,41.11
2021-11-04,105400,46410.0,227.11
2021-11-05,90700,50910.0,178.16
2021-11-08,191500,31555.0,606.88
2021-11-09,1300,31030.0,4.19
2021-11-10,4700,31265.0,15.03
2021-11-11,45400,32640.0,139.09
2021-11-12,16300,33430.0,48.76
2021-11-15,7000,32870.0,21.3
2021-11-16,1900,32950.0,5.77
2021-11-17,1100,32965.0,3.34
2021-11-18,10600,33495.0,31.65
2021-11-19,84500,36820.0,229.49
2021-11-22,33100,38330.0,86.36
2021-11-23,10400,36065.0,28.84
2021-11-24,700,34525.0,2.03
2021-11-26,2500,34545.0,7.24
2021-11-29,10800,33175.0,32.55
2021-11-30,4200,31965.0,13.14
2021-12-01,18800,32895.0,57.15
2021-12-02,14100,32750.0,43.05
2021-12-03,1600,27560.0,5.81
2021-12-06,5500,23300.0,23.61
2021-12-07,1018200,64635.0,1575.31
2021-12-08,932000,111170.0,838.36
2021-12-09,477900,134830.0,354.45
2021-12-10,35100,134315.0,26.13
2021-12-13,6700,133835.0,5.01
2021-12-14,26200,134795.0,19.44
2021-12-15,16400,135520.0,12.1
2021-12-16,1600,135545.0,1.18
2021-12-17,167200,143375.0,116.62
2021-12-20,16100,139955.0,11.5
2021-12-21,2400,138420.0,1.73
2021-12-22,57000,140750.0,40.5
2021-12-23,14900,141460.0,10.53
2021-12-27,8400,141755.0,5.93
2021-12-28,7300,141580.0,5.16
2021-12-29,4800,141610.0,3.39
2021-12-30,11300,141235.0,8.0
2021-12-31,52700,143165.0,36.81
2022-01-03,8800,143525.0,6.13
2022-01-04,1200,143310.0,0.84
2022-01-05,20800,93440.0,22.26
2022-01-06,600,46870.0,1.28
2022-01-07,16900,23820.0,70.95
2022-01-10,2000,22165.0,9.02
2022-01-11,24800,23070.0,107.5
2022-01-12,0,21760.0,0.0
2022-01-13,8400,21360.0,39.33
2022-01-14,0,21280.0,0.0
2022-01-18,3800,13110.0,28.99
2022-01-19,2400,12425.0,19.32
2022-01-20,3500,12480.0,28.04
2022-01-21,446800,31970.0,1397.56
2022-01-24,8800,31665.0,27.79
2022-01-25,6200,31555.0,19.65
2022-01-26,700,31225.0,2.24
2022-01-27,19900,31980.0,62.23
2022-01-28,73100,35070.0,208.44
2022-01-31,37700,34320.0,109.85
2022-02-01,14500,34605.0,41.9
2022-02-02,2500,34670.0,7.21
2022-02-03,1500,33705.0,4.45
2022-02-04,1100,33730.0,3.26
2022-02-07,10600,33415.0,31.72
2022-02-08,100100,38320.0,261.22
2022-02-09,7200,37440.0,19.23
2022-02-10,500,37465.0,1.33
2022-02-11,2900,37190.0,7.8
2022-02-14,6200,37500.0,16.53
2022-02-15,2500,37435.0,6.68
2022-02-16,1300,37380.0,3.48
2022-02-17,600,37235.0,1.61
2022-02-18,1400,14965.0,9.36
2022-02-22,400,14545.0,2.75
2022-02-23,865100,57490.0,1504.78
2022-02-24,39200,59415.0,65.98
2022-02-25,35100,60175.0,58.33
2022-02-28,3200,56680.0,5.65
2022-03-01,90600,59325.0,152.72
2022-03-02,67500,61975.0,108.91
2022-03-03,301000,76900.0,391.42
2022-03-04,3900,77020.0,5.06
2022-03-07,19500,77940.0,25.02
2022-03-08,318500,93335.0,341.24
2022-03-09,100,88335.0,0.11
2022-03-10,400,87995.0,0.45
2022-03-11,400,87990.0,0.45
2022-03-14,54900,90590.0,60.6
2022-03-15,300,90295.0,0.33
2022-03-16,200,90180.0,0.22
2022-03-17,2100,90220.0,2.33
2022-03-18,2883900,234385.0,1230.41
2022-03-21,501700,259400.0,193.41
2022-03-22,500,259405.0,0.19
2022-03-23,0,216150.0,0.0
2022-03-24,55000,216940.0,25.35
2022-03-25,2000,215285.0,0.93
2022-03-28,1900,215220.0,0.88
2022-03-29,600,210720.0,0.28
2022-03-30,77100,211200.0,36.51
2022-03-31,5400,196420.0,2.75
2022-04-01,0,196225.0,0.0
2022-04-04,5700,195535.0,2.92
2022-04-05,30300,181125.0,16.73
2022-04-06,24000,182320.0,13.16
2022-04-07,12700,182935.0,6.94
2022-04-08,2500,183040.0,1.37
2022-04-11,7200,180655.0,3.99
2022-04-12,32200,182250.0,17.67
2022-04-13,44300,184455.0,24.02
2022-04-14,806100,224655.0,358.82
2022-04-18,1300,80525.0,1.61
2022-04-19,1500,55515.0,2.7
2022-04-20,13300,56155.0,23.68
2022-04-21,2300,56270.0,4.09
2022-04-22,780300,92535.0,843.25
2022-04-25,100200,97445.0,102.83
2022-04-26,17000,98200.0,17.31
2022-04-27,100,98175.0,0.1
2022-04-28,10400,94840.0,10.97
2022-04-29,11000,95120.0,11.56
2022-05-02,8000,95520.0,8.38
2022-05-03,3600,95415.0,3.77
2022-05-04,1300,93965.0,1.38
2022-05-05,15600,93545.0,16.68
2022-05-06,28300,94325.0,30.0
2022-05-09,24700,95435.0,25.88
2022-05-10,300,95090.0,0.32
2022-05-11,9600,93960.0,10.22
2022-05-12,4100,91950.0,4.46
2022-05-13,1000,51695.0,1.93
2022-05-16,0,51630.0,0.0
2022-05-17,0,51555.0,0.0
2022-05-18,200,50900.0,0.39
2022-05-19,800,50825.0,1.57
2022-05-20,700,11845.0,5.91
2022-05-23,2100,6940.0,30.26
2022-05-24,52700,8725.0,604.01
2022-05-25,2900,8865.0,32.71
2022-05-26,100100,13350.0,749.81
2022-05-27,277500,26675.0,1040.3
2022-05-31,118800,32215.0,368.77
2022-06-01,1100,32090.0,3.43
2022-06-02,26200,33335.0,78.6
2022-06-03,21500,33630.0,63.93
2022-06-06,156800,40055.0,391.46
2022-06-07,19900,39815.0,49.98
2022-06-08,43800,41990.0,104.31
2022-06-09,1600,41590.0,3.85
2022-06-10,2300,41500.0,5.54
2022-06-13,100,41455.0,0.24
2022-06-14,55700,44240.0,125.9
2022-06-15,132300,50855.0,260.15
2022-06-16,9900,51340.0,19.28
2022-06-17,14700,52035.0,28.25
2022-06-21,200,52010.0,0.38
2022-06-22,400,51925.0,0.77
2022-06-23,0,49290.0,0.0
2022-06-24,29900,50640.0,59.04
2022-06-27,4600,45865.0,10.03
2022-06-28,95000,36740.0,258.57
2022-06-29,600,30830.0,1.95
2022-06-30,3700,30960.0,11.95
2022-07-01,1900,29745.0,6.39
2022-07-05,228700,40105.0,570.25
2022-07-06,500,32290.0,1.55
2022-07-07,25300,32560.0,77.7
2022-07-08,4900,30615.0,16.01
2022-07-11,1100,30590.0,3.6
2022-07-12,3500,30650.0,11.42
2022-07-13,324300,46860.0,692.06
2022-07-14,0,44075.0,0.0
2022-07-15,0,37460.0,0.0
2022-07-18,6000,37265.0,16.1
2022-07-19,2900,36675.0,7.91
2022-07-20,504900,61910.0,815.54
2022-07-21,1800,61980.0,2.9
2022-07-22,0,61980.0,0.0
2022-07-25,2500,60610.0,4.12
2022-07-26,500,60405.0,0.83
2022-07-27,67900,59050.0,114.99
2022-07-28,3900,59215.0,6.59
2022-07-29,27500,60405.0,45.53
2022-08-01,6100,60615.0,10.06
2022-08-02,8200,49590.0,16.54
2022-08-03,8000,49965.0,16.01
2022-08-04,28300,50115.0,56.47
2022-08-05,2100,49975.0,4.2
2022-08-08,700,49955.0,1.4
2022-08-09,49700,52265.0,95.09
2022-08-10,1900,36145.0,5.26
2022-08-11,2700,36280.0,7.44
2022-08-12,7400,36650.0,20.19
2022-08-15,10100,36855.0,27.4
2022-08-16,1000,36760.0,2.72
2022-08-17,12300,12130.0,101.4
2022-08-18,12200,12650.0,96.44
2022-08-19,921900,58745.0,1569.33
2022-08-22,800,58660.0,1.36
2022-08-23,1900,58730.0,3.24
2022-08-24,1800,55425.0,3.25
2022-08-25,900,55275.0,1.63
2022-08-26,500,53925.0,0.93
2022-08-29,900,53665.0,1.68
2022-08-30,1000,53305.0,1.88
2022-08-31,0,52905.0,0.0
2022-09-01,0,51490.0,0.0
2022-09-02,0,51385.0,0.0
2022-09-06,140800,58390.0,241.14
2022-09-07,600,55935.0,1.07
2022-09-08,0,55840.0,0.0
2022-09-09,0,55705.0,0.0
2022-09-12,1700,55420.0,3.07
2022-09-13,600,54945.0,1.09
2022-09-14,4200,55105.0,7.62
2022-09-15,1400,54560.0,2.57
2022-09-16,2200,54060.0,4.07
2022-09-19,1700,8050.0,21.12
2022-09-20,75000,11760.0,637.76
2022-09-21,100700,16700.0,602.99
2022-09-22,161800,24700.0,655.06
2022-09-23,4700,24890.0,18.88
2022-09-26,14100,25570.0,55.14
2022-09-27,254500,38250.0,665.36
2022-09-28,175400,46970.0,373.43
2022-09-29,4200,47180.0,8.9
2022-09-30,600,47210.0,1.27
2022-10-03,1800,47300.0,3.81
2022-10-04,2200,40370.0,5.45
2022-10-05,6000,40640.0,14.76
2022-10-06,1200,40700.0,2.95
2022-10-07,5200,40960.0,12.7
2022-10-10,200,40885.0,0.49
2022-10-11,6000,41155.0,14.58
2022-10-12,3100,41100.0,7.54
2022-10-13,2600,41160.0,6.32
2022-10-14,6700,41385.0,16.19
2022-10-17,700,41335.0,1.69
2022-10-18,4100,37790.0,10.85
2022-10-19,0,32755.0,0.0
